1. 押尼珥為什麼決定歸順大衛？
   A. 他厭倦了戰爭  
   B. 他被以實波設侮辱  
   C. 他希望成為大衛的將軍  
   D. 他看到了大衛的正義  
答案: B

2. 約押為何殺死押尼珥？
   A. 因為押尼珥背叛以實波設  
   B. 為了報復押尼珥殺死他的兄弟亞撒黑  
   C. 押尼珥威脅到約押的地位  
   D. 大衛命令他這樣做  
答案: B


3. 大衛如何成為全以色列的王？
   A. 他自己宣佈  
   B. 他打敗了所有敵人  
   C. 以色列眾支派的長老來希伯侖膏立他  
   D. 撒母耳再次膏立他  
答案: C

4. 大衛在哪個地方建立了他的首都？
   A. 希伯侖  
   B. 耶路撒冷  
   C. 伯利恒  
   D. 基遍  
答案: B



5. 大衛在迎接約櫃進入耶路撒冷時，米甲怎麼反應？
    A. 高興地跳舞  
    B. 歡呼  
    C. 輕視大衛  
    D. 跟隨大衛  
答案: C

6. 耶和華應許大衛的後裔中誰將建造殿宇？
    A. 所羅門  
    B. 亞多尼雅  
    C. 亞比亞他  
    D. 押沙龍  
答案: A



7. 大衛為什麼要恩待掃羅的孫子米非波設？
A. 因為他是約拿單的兒子  
B. 因為他是大衛的朋友  
C. 因為他幫助過大衛  
D. 因為他是掃羅的親戚  
答案: A

8. 押沙龍為什麼殺了暗嫩？
A. 因為暗嫩殺了押沙龍的朋友  
B. 因為暗嫩侮辱了他瑪  
C. 因為暗嫩奪取了王位  
D. 因為暗嫩背叛了大衛  
答案: B

9. 大衛得知押沙龍叛變後，選擇了什麼行動？
A. 留在耶路撒冷  
B. 與押沙龍戰鬥  
C. 逃離耶路撒冷  
D. 請求和解  
答案: C

10. 在大衛逃離耶路撒冷的路上，誰咒詛了他？
A. 米非波設  
B. 洗巴  
C. 示每  
D. 亞希多弗  
答案: C
