1. 亞伯拉罕在哪裡對亞比米勒說撒拉是他的妹妹？

   A. 基拉耳

   B. 以及

   C. 希伯侖

   D. 約旦

   答案：A. 基拉耳

 

2. 在創世紀第21章中，撒拉生了一個兒子，他的名字是什麼？

   A. 以撒

   B. 以實瑪利

   C. 雅各

   D. 以掃

   答案：A. 以撒

 

3. 撒拉要亞伯拉罕趕走誰和他的媽媽？

   A. 以掃

   B. 以實瑪利

   C. 以撒

   D. 班雅憫

   答案：B. 以實瑪利

 

4. 亞伯拉罕在哪座山上預備獻以撒？

   A. 摩利亞山

   B. 錫安山

   C. 何烈山

   D. 基利心山

   答案：A. 摩利亞山

 

5. 亞伯拉罕的僕人在哪裡遇見了利百加？

    A. 以及

    B. 哈蘭

    C. 烏爾

    D. 希伯侖

    答案：B. 哈蘭

 

6. 以撒和利百加的雙胞胎兒子是誰？

    A. 以掃和雅各

    B. 以掃和約瑟

    C. 雅各和約瑟

    D. 以實瑪利和以掃

    答案：A. 以掃和雅各

 

7. 創世紀第27章中，雅各用什麼方式欺騙了以撒，得了祝福？

    A. 假裝是以掃

    B. 假裝是以實瑪利

    C. 假裝是亞伯拉罕

    D. 假裝是羅得

    答案：A. 假裝是以掃

 

8. 創世紀第28章中，雅各在夢中看到了什麼？

    A. 大海分開

    B. 火焰山

    C. 通天的梯子

    D. 大洪水

    答案：C. 通天的梯子

 

9. 耶和華在雅各的夢中給他什麼應許？

A. 成為大國

B. 被帶回應許之地

C. 得到豐富的財富

D. 擁有智慧

答案：B. 被帶回應許之地。
