1. 誰受膏成為以色列的王，奉命殺滅亞哈的家？
A. 約沙法
B. 以利沙
C. 耶戶
D. 約亞施
答案: C

2. 耶洗別被丟下樓後，耶戶下令做什麼？
A. 給她安葬
B. 拿走她的財物
C. 剖開她的屍體
D. 踩踏她的屍體
答案: D

3. 耶戶執政期間，為什麼神應許他的子孫可以坐以色列的王位直到四代？
A. 因為他敬畏神
B. 因為他善待以利亞
C. 因為他殺滅了亞哈全家
D. 因為他忠於先知以利沙
答案: C

4. 約阿施在誰的幫助下重建了聖殿？
A. 約拿達
B. 祭司耶何耶大
C. 先知以利沙
D. 耶戶
答案: B

5. 以利沙對約阿施王射地上的箭不夠次數表示什麼？
A. 他對神不忠
B. 他不能完全勝過亞蘭人
C. 他不能成為偉大的王
D. 他會很快死去
答案: B

6. 亞瑪謝死後，猶大百姓立誰為王？
A. 約坦  
B. 亞哈斯  
C. 烏西亞  
D. 亞哈  
答案: C

7. 亞哈斯在位期間，向哪國求助？
A. 埃及  
B. 亞述  
C. 巴比倫  
D. 亞蘭  
答案: B

8. 希西家在位的第一年做了什麼重大改革？
A. 修建耶路撒冷城牆  
B. 重建聖殿  
C. 恢復節期  
D. 打破銅蛇  
答案: D

9. 希西家王與誰聯合反抗亞述？
A. 埃及  
B. 巴比倫  
C. 亞蘭  
D. 亞摩利  
答案: A

10. 希西家與亞述的戰爭結果如何？
A. 希西家戰勝  
B. 亞述戰勝  
C. 和解  
D. 戰鬥未決  
答案: A

