1. 希西家王在面臨亞述王西拿基立威脅時，首先做了什麼？
A. 向埃及求援
B. 拆毀偶像
C. 撕裂衣服，披上麻布，進了耶和華的殿
D. 與西拿基立談判
答案: C

2. 希西家求問先知以賽亞時，以賽亞對他說了什麼？
A. 上戰場迎敵
B. 不要害怕亞述王的話
C. 離開耶路撒冷
D. 獻祭給耶和華
答案: B

3. 亞述王的拉伯沙基用什麼語言威嚇耶路撒冷的民眾？
A. 希伯來語
B. 亞蘭語
C. 迦勒底語
D. 埃及語
答案: A

4. 希西家為了求證耶和華的應許，求了什麼樣的兆頭？
A. 星星移動
B. 日影前進
C. 月亮變紅
D. 日影后退
答案: D

5. 希西家王接待巴比倫使者時，犯了什麼錯誤？
A. 拒絕與他們交談
B. 向他們炫耀自己的財富
C. 沒有敬拜耶和華
D. 計畫與他們結盟
答案: B

6. 希西家死後，誰繼承了猶大王位？
A. 瑪拿西
B. 約西亞
C. 亞哈斯
D. 約雅敬
答案: A

7. 瑪拿西王在位期間，做了哪些惡事？
A. 拆毀偶像
B. 建立邱壇，獻祭偶像
C. 忠於耶和華
D. 遵守律法
答案: B

8. 瑪拿西王在位多少年？
A. 25年
B. 40年
C. 55年
D. 30年
答案: C

9. 約西亞王從哪裡發現了律法書？
A. 宮殿
B. 民間
C. 耶和華的殿
D. 亞述王宮
答案: C

10. 約西亞王在讀了律法書後，採取了什麼行動？
A. 舉行盛宴
B. 派遣使者
C. 撕裂衣服
D. 建立偶像
答案: C


   
