1. 大衛將立王的權柄傳給所羅門時，特別囑咐他要建造什麼？
A. 聖殿
B. 宮殿
C. 城牆
D. 城門  
答案: A

2. 在歷代志上28章中，大衛告誡所羅門要專心盡力事奉神，因為神必察看什麼？
A. 所羅門的智慧
B. 所羅門的努力
C. 所羅門的忠誠
D. 所羅門的內心  
答案: D

3. 大衛在預備建造聖殿的過程中，特別指定哪一位工匠監督所有工藝？
A. 比撒列
B. 亞何利亞伯
C. 烏利亞
D. 亞比雅  
答案: A

4. 大衛在歷代志上29章中，為了聖殿的建設獻上了自己的什麼？
A. 黃金
B. 銀子
C. 寶石
D. 所有以上  
答案: D

5. 在大衛晚年的統治結束時，他的主要成就之一是什麼？
A. 建立王國的強盛
B. 建造聖殿
C. 平定四方敵人
D. 確立所羅門為繼承人  
答案: D

6. 所羅門在基遍獻祭後，神在夢中問他要什麼，所羅門要求什麼？
A. 財富
B. 智慧
C. 長壽
D. 仇敵的性命  
答案: B

7. 所羅門從何處得到建造聖殿的香柏木？
A. 利巴嫩
B. 埃及
C. 亞述
D. 巴比倫  
答案: A

8. 所羅門在建造聖殿時，從哪位外邦君王那裡得到了技術工人？
A. 推羅王希蘭
B. 亞蘭王便哈達
C. 埃及法老
D. 摩押王米沙  
答案: A

9. 聖殿的建造持續了多少年？
A. 三年
B. 五年
C. 七年
D. 二十年  
答案: C

10. 所羅門在禱告中提到外邦人若因神的名來到這殿祈禱，神會如何回應他們的禱告？
A. 拒絕他們
B. 垂聽他們
C. 考驗他們
D. 使他們成為以色列人  
答案: B

