1. 尼希米記第八章，百姓在哪裡聽以斯拉誦讀律法書？
A. 水門前的廣場
B. 聖殿的院子
C. 東門的臺階
D. 啟示臺上
答案: A

2. 尼希米記第八章中，以斯拉讀律法書的時間是？
A. 從早晨到中午
B. 從日出到下午
C. 從正午到黃昏
D. 從清晨到黃昏
答案: A

3. 在尼希米記第八章，百姓聽律法書後表現出什麼反應？
A. 哭泣
B. 歡呼
C. 沉默
D. 質疑
答案: A

4. 尼希米記第八章中，尼希米和以斯拉教導百姓什麼？
A. 今日是耶和華的聖日，不要憂愁
B. 遵守安息日，遠離罪惡
C. 獻祭為贖罪
D. 敬拜偶像是極大的罪
答案: A

5. 在尼希米記第九章，百姓穿麻衣禁食表明什麼？
A. 悔改認罪
B. 歡慶節日
C. 聽從神的誡命
D. 尋求神的祝福
答案: A

6. 根據尼希米記第九章，神在曠野中怎樣照顧以色列人？
A. 白天用雲柱，夜間用火柱引導他們
B. 每天降下嗎哪給他們
C. 讓他們的衣服和鞋子沒有破損
D. 上述所有
答案: D


7. 尼希米記第10章中，百姓立約時承諾不與哪些人通婚？  
A. 亞捫人  
B. 摩押人  
C. 亞述人  
D. 外邦人  
答案: D


8. 在尼希米記第13章中，尼希米得知以利亞實的什麼行為引發了他的憤怒？  
A. 把殿中的房間分給多比雅  
B. 犯了姦淫  
C. 貪污百姓的捐獻  
D. 拒絕安息日  
答案: A


9. 在尼希米記第13章中，尼希米將哪些外邦人從以色列民中趕走了？  
A. 非利士人  
B. 摩押人  
C. 亞捫人  
D. 亞述人  
答案: C


10. 尼希米記第13章，尼希米去哪裡時，耶路撒冷的狀況開始惡化？  
A. 巴比倫  
B. 亞述  
C. 以攔  
D. 波斯  
答案: D

