1. 在以斯帖記第1章，瓦實提王后拒絕出現在宴會上的原因是什麼？
A. 她生病了
B. 她忙於其他事務
C. 她不願接受國王的命令
D. 她在另一個宴會上
答案: C

2. 在以斯帖記第3章，哈曼為何要謀害所有猶大人？
A. 因為猶大人犯了法律
B. 因為末底改不向他跪拜
C. 因為猶大人對王不忠
D. 因為猶大人偷了國庫的財寶
答案: B

3. 末底改在得知哈曼的計畫後，做了什麼表現悲痛的行為？
A. 剪斷自己的頭髮
B. 穿麻衣，蒙灰塵
C. 在王宮門前請願
D. 絕食三天
答案: B

4. 以斯帖在末底改的請求下決定做什麼來拯救她的同胞？
A. 她決定直接與哈曼對抗
B. 她秘密離開宮廷
C. 她決定冒死見王請求恩典
D. 她寫信給所有猶大人
答案: C

5. 在以斯帖記第4章，末底改給以斯帖的建議是什麼？
A. 不要去見王
B. 等待時機再行動
C. 你得了王后的位分，莫非不是為現今的機會嗎？
D. 向其他國家尋求幫助
答案: C

6. 以斯帖在準備去見亞哈隨魯王之前，要求所有猶大人做什麼？
A. 把所有的財產獻出來
B. 禱告並禁食三天三夜
C. 尋找新的住處
D. 集結在王宮外抗議
答案: B

7. 在以斯帖記第5章，以斯帖首次進入王宮見王時，王是如何回應的？
A. 王對她大發雷霆
B. 王立刻下令將她驅逐
C. 王伸出了金杖
D. 王命令她離開
答案: C



8. 哈曼建議王應該如何獎賞他以為是自己的那個人？
A. 賜金銀
B. 封為宰相
C. 賞賜國土
D. 穿王的禦服，騎王的馬
答案: D

9. 哈曼被掛在什麼樣的木架上？
A. 自己為末底改預備的木架
B. 為以斯帖預備的木架
C. 為王宮守衛預備的木架
D. 無名木架
答案: A

10. 普珥節的設立是為了紀念什麼事件？
A. 王宮的大火
B. 末底改的提升
C. 猶大人脫離哈曼的陰謀
D. 以斯帖成為王后
答案: C 
