1. 傳道書提到人在神面前要如何行事，尤其是在神的殿中？
A. 要隨心所欲  
B. 要謹慎言行  
C. 要頻繁獻祭  
D. 要公開禱告  
答案: B  

2. 傳道書第五章中，富人常常有什麼問題？
A. 不懂得享受生活  
B. 擁有財富卻不得安寧  
C. 財富越來越多  
D. 經常有病痛  
答案: B  

3. 傳道書第九章中，所羅門論到的死亡平等性是指什麼？
A. 人人皆會死亡  
B. 只有惡人會死亡  
C. 公義人會長壽  
D. 智慧人不會死  
答案: A  

4. 雅歌中，新娘的膚色為什麼是黑的？
A. 因為她常在陽光下勞動
B. 因為她生下來就是黑的
C. 因為她去沙漠旅行
D. 因為她喜歡黑色  
答案: A

5. 新娘在雅歌中把自己比喻成“沙侖的玫瑰”，她還把自己比作什麼？
A. 百合花
B. 牡丹
C. 雛菊
D. 紫羅蘭  
答案: A

6. 雅歌中的良人形容新娘的眼睛像什麼？
A. 鴿子眼
B. 星星
C. 水晶
D. 羊群  
答案: A

7. 雅歌第8章，新娘將愛比喻成什麼樣的力量？
A. 死亡般的堅定
B. 大水般的洶湧
C. 火焰般的熾烈
D. 風暴般的猛烈  
答案: A

8. 《以賽亞書》1章1節提到的“所見的默示”是關於哪些王朝的事？
A. 烏西雅、約坦、亞哈斯、希西家  
B. 烏西雅、亞哈斯、瑪拿西、希西家  
C. 亞哈斯、希西家、約西亞、約坦  
D. 約西亞、希西家、亞哈斯、約坦  
答案: A

9. 根據《以賽亞書》1章18節，耶和華通過以賽亞告訴百姓，他們的罪雖“如朱紅”，要變成什麼顏色？
A. 如白雪  
B. 如雪白羊毛  
C. 如細麻布  
D. 如紅寶石  
答案: A

10. 《以賽亞書》2章4節預言將來萬國在耶和華的山上和平相處，“不再學戰事”，並形象地將刀劍改成什麼？
A. 犁頭  
B. 梨頭  
C. 鏟子  
D. 鋤頭  
答案: A
